region,ticker,display_ticker,company,industry_model_class,valuation_basis,current_multiple,own_history_mid,peer_history_mid,fair_mid,fair_low,fair_high,valuation_gap_pct,history_months,data_status,note
US,NVDA,NVDA,NVIDIA,半導體設備 / 高毛利瓶頸股,Forward PE,16.681019,,31.245775,31.245775,26.954607,39.855434,-0.466135,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,AMD,AMD,AMD,半導體設備 / 高毛利瓶頸股,Forward PE,39.82394,,31.245775,31.245775,26.954607,39.855434,0.274538,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,AVGO,AVGO,Broadcom,半導體設備 / 高毛利瓶頸股,Forward PE,24.227072,,31.245775,31.245775,26.954607,39.855434,-0.224629,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,MRVL,MRVL,Marvell,半導體設備 / 高毛利瓶頸股,Forward PE,33.7438,,31.245775,31.245775,26.954607,39.855434,0.079948,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,INTC,INTC,Intel,半導體設備 / 高毛利瓶頸股,Forward PE,74.48107,,31.245775,31.245775,26.954607,39.855434,1.383717,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,ARM,ARM,Arm,半導體設備 / 高毛利瓶頸股,Forward PE,115.63715,,31.245775,31.245775,26.954607,39.855434,2.700889,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,QCOM,QCOM,Qualcomm,半導體設備 / 高毛利瓶頸股,Forward PE,23.6006,,31.245775,31.245775,26.954607,39.855434,-0.244679,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,ALAB,ALAB,Astera Labs,半導體設備 / 高毛利瓶頸股,Forward PE,81.50114,,31.245775,31.245775,26.954607,39.855434,1.608389,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,MPWR,MPWR,Monolithic Power,半導體設備 / 高毛利瓶頸股,Forward PE,51.932003,,31.245775,31.245775,26.954607,39.855434,0.662049,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,ADI,ADI,Analog Devices,半導體設備 / 高毛利瓶頸股,Forward PE,28.013319,,31.245775,31.245775,26.954607,39.855434,-0.103453,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,TXN,TXN,Texas Instruments,半導體設備 / 高毛利瓶頸股,Forward PE,32.47213,,31.245775,31.245775,26.954607,39.855434,0.039249,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,MCHP,MCHP,Microchip,半導體設備 / 高毛利瓶頸股,Forward PE,23.13457,,31.245775,31.245775,26.954607,39.855434,-0.259594,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,TSM,TSM,TSMC,封測 / 代工 / 資本密集,Forward PE,21.44058,,30.159443,30.159443,27.587408,32.17037,-0.289092,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,MU,MU,Micron,封測 / 代工 / 資本密集,Forward PE,9.222632,,30.159443,30.159443,27.587408,32.17037,-0.694204,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,GFS,GFS,GlobalFoundries,封測 / 代工 / 資本密集,Forward PE,31.831009,,30.159443,30.159443,27.587408,32.17037,0.055424,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,UMC,UMC,UMC,封測 / 代工 / 資本密集,Forward PE,27.587408,,30.159443,30.159443,27.587408,32.17037,-0.085281,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,WDC,WDC,Western Digital,封測 / 代工 / 資本密集,Forward PE,30.159443,,30.159443,30.159443,27.587408,32.17037,0,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,STX,STX,Seagate,封測 / 代工 / 資本密集,Forward PE,33.26724,,30.159443,30.159443,27.587408,32.17037,0.103046,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,ASML,ASML,ASML,半導體設備 / 高毛利瓶頸股,Forward PE,33.82436,,31.245775,31.245775,26.954607,39.855434,0.082526,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,AMAT,AMAT,Applied Materials,半導體設備 / 高毛利瓶頸股,Forward PE,27.833576,,31.245775,31.245775,26.954607,39.855434,-0.109205,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,LRCX,LRCX,Lam Research,半導體設備 / 高毛利瓶頸股,Forward PE,40.06129,,31.245775,31.245775,26.954607,39.855434,0.282135,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,KLAC,KLAC,KLA,半導體設備 / 高毛利瓶頸股,Forward PE,38.54616,,31.245775,31.245775,26.954607,39.855434,0.233644,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,TER,TER,Teradyne,半導體設備 / 高毛利瓶頸股,Forward PE,39.3463,,31.245775,31.245775,26.954607,39.855434,0.259252,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,SNPS,SNPS,Synopsys,半導體設備 / 高毛利瓶頸股,Forward PE,27.633432,,31.245775,31.245775,26.954607,39.855434,-0.115611,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,CDNS,CDNS,Cadence,半導體設備 / 高毛利瓶頸股,Forward PE,39.949917,,31.245775,31.245775,26.954607,39.855434,0.27857,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,ANSS,ANSS,Ansys,半導體設備 / 高毛利瓶頸股,PB,,,31.245775,31.245775,26.954607,39.855434,,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
